"merchant_alias","location_formatted_address","location_latitude","merchant_id","source_id","source_data","source_details_data","source_type","merchant_name","business_id","location_name","location_id","location_route_number","location_route_name_short","location_route_name_long","location_suburb_short","location_suburb_long","location_state_short","location_state_long","location_country_code","location_country_name","location_postal_code","location_formatted_address-2","location_latitude-2","location_longitude","contact_website","contact_operating_hours","contact_phone_number_local","contact_phone_number_international","anzsic_class_code","date_created","date_source_updated","date_transformed","date_indexed","date_classified","soundex_code","logo_master","logo_thumb","merchant_alias-2"
"TAMPING GROUND","580 Princes Hwy, Kirrawee NSW 2232, Australia",NULL,"dbe3167b-e632-48be-82b9-b6751cb86727","dbe3167b-e632-48be-82b9-b6751cb86727","{}",NULL,"CUSTOM","Tamping Ground",NULL,NULL,NULL,"580","Princes Hwy","Princes Highway","Kirrawee","Kirrawee","NSW","New South Wales","AU","Australia","2232","580 Princes Hwy, Kirrawee NSW 2232, Australia",NULL,NULL,NULL,NULL,NULL,NULL,"4511","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"TAMPING GROUND"
"TENPIN BOWLING ASSOCIATION OF WA","PO Box Z 5185, St Georges Tce Private Boxes WA 6831, Australia",NULL,"28ec2a1c-4c8c-11e8-92d5-0a87c0279fe8","14192262","{""id"": ""14192262"", ""name"": ""Tenpin Bowling Association of WA"", ""score"": 1065, ""aboutId"": ""148b4213-9190-484e-aa24-894f85e55e24"", ""categories"": [{""id"": ""42684"", ""name"": ""Ten Pin Bowling"", ""sensitive"": false}], ""detailsLink"": ""https://www.yellowpages.com.au/wa/st-georges-tce-private-boxes/tenpin-bowling-association-of-wa-14192262-listing.html?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""Business"", ""reportingId"": ""14192262"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""St Georges Tce Private Boxes"", ""latitude"": """", ""postcode"": ""6831"", ""longitude"": """", ""addressLine"": ""PO Box Z 5185""}, ""primaryContacts"": [{""type"": ""MOBILE"", ""value"": ""0418 388 338""}, {""type"": ""URL"", ""value"": ""http://www.tenpinbowlingwa.com.au""}], ""secondaryContacts"": {""Other Contacts"": [{""type"": ""PHONE"", ""value"": ""0437 510 806""}]}, ""orderedSecondaryContacts"": [{""name"": ""Other Contacts"", ""contacts"": [{""type"": ""PHONE"", ""value"": ""0437 510 806""}]}]}",NULL,"SENSIS","Tenpin Bowling Association of WA",NULL,NULL,NULL,"5185",NULL,NULL,"St Georges Tce Private Boxes","St Georges Tce Private Boxes","WA","Western Australia","AU","Australia","6831","PO Box Z 5185, St Georges Tce Private Boxes WA 6831, Australia",NULL,NULL,"http://www.tenpinbowlingwa.com.au","{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","0437 510 806","+61 437 510 806","9113","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:38.827435",NULL,"2019-10-18 11:01:42.036342","T515",NULL,NULL,"TENPIN BOWLING ASSOCIATION OF WA"
"COCOS ISLANDS VISITOR INFORMATION CENTER","Cocos Islands, Cocos Islands WA 6799, Australia",NULL,"884d9406-4c86-11e8-9ec7-0a87c0279fe8","13090661","{""id"": ""13090661"", ""name"": ""Cocos Islands Visitor Information Centre"", ""score"": 2835.6648, ""aboutId"": ""e02d872a-a50f-44db-9d0f-d4f63f4f27b4"", ""categories"": [{""id"": ""45047"", ""name"": ""Tourist Bureaux"", ""sensitive"": false}], ""detailsLink"": ""https://www.yellowpages.com.au/wa/cocos-islands/cocos-islands-visitor-information-centre-13090661-listing.html?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""Business"", ""reportingId"": ""13090661"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Cocos Islands"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""Cocos Islands""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6790""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Islands Visitor Information Centre",NULL,NULL,NULL,NULL,"Cocos Islands",NULL,"Cocos Islands","Cocos Islands","WA","Western Australia","AU","Australia","6799","Cocos Islands, Cocos Islands WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6790","+61 8 9162 6790","7720","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:24.388483",NULL,"2019-10-18 11:01:42.036342","C222",NULL,NULL,"COCOS ISLANDS VISITOR INFORMATION CENTER"
"MCDONALDS","130 Queen Street, Brisbane City QLD 4000, Australia",NULL,"d1ad3d84-486e-11e8-87ae-0a87c0279fe8","McDonalds 3206 Queen Street","{""id"": ""McDonalds 3206 Queen Street"", ""storeId"": ""3206"", ""identity"": {""status"": ""active"", ""website"": ""https://mcdonalds.com.au/"", ""entityName"": null, ""businessName"": ""McDonalds"", ""phoneNumbers"": [{""local"": ""TBA"", ""phoneType"": null, ""international"": ""+61 BA""}], ""businessNumber"": null, ""operatingHours"": {""friday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""monday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""sunday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""tuesday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""saturday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""thursday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""wednesday"": [{""end"": ""24:00"", ""begin"": ""00:00""}]}}, ""location"": {""route"": """", ""country"": {""code"": ""AU"", ""name"": ""Australia""}, ""routeNo"": """", ""geometry"": {""lat"": """", ""lng"": """"}, ""locality"": {""longName"": ""Brisbane City"", ""shortName"": ""Brisbane City""}, ""postalCode"": ""4000"", ""formattedAddress"": ""130 Queen Street, Brisbane City QLD 4000, Australia"", ""administrativeArea1"": {""longName"": ""Queensland"", ""shortName"": ""QLD""}, ""administrativeArea2"": {""longName"": """", ""shortName"": """"}}, ""storeName"": ""Queen Street"", ""classification"": {""class"": {""code"": ""4512"", ""title"": ""Takeaway Food Services""}, ""group"": {""code"": ""451"", ""title"": ""Cafes, Restaurants and Takeaway Food Services""}, ""division"": {""code"": ""H"", ""title"": ""Accommodation and Food Services""}, ""subdivision"": {""code"": ""45"", ""title"": ""Food and Beverage Services""}}}",NULL,"CUSTOM","McDonalds",NULL,"Queen Street","3206",NULL,NULL,NULL,"Brisbane City","Brisbane City","QLD","Queensland","AU","Australia","4000","130 Queen Street, Brisbane City QLD 4000, Australia",NULL,NULL,"https://mcdonalds.com.au/",NULL,NULL,NULL,"4512","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-08-08 11:54:42.58206",NULL,"2019-10-18 11:01:42.036342","M235","mcdonalds-master.svg","mcdonalds-thumb.svg","MCDONALDS"
"MCDONALDS","5 Boggy Creek Road, Valla NSW 2448, Australia",NULL,"d1a59d68-486e-11e8-9d71-0a87c0279fe8","McDonalds 3177 Nambucca Highway Service Centre","{""id"": ""McDonalds 3177 Nambucca Highway Service Centre"", ""storeId"": ""3177"", ""identity"": {""status"": ""active"", ""website"": ""https://mcdonalds.com.au/"", ""entityName"": null, ""businessName"": ""McDonalds"", ""phoneNumbers"": [{""local"": ""02 6568 9536"", ""phoneType"": null, ""international"": ""+61 2 6568 9536""}], ""businessNumber"": null, ""operatingHours"": {""friday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""monday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""sunday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""tuesday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""saturday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""thursday"": [{""end"": ""24:00"", ""begin"": ""06:00""}], ""wednesday"": [{""end"": ""24:00"", ""begin"": ""06:00""}]}}, ""location"": {""route"": """", ""country"": {""code"": ""AU"", ""name"": ""Australia""}, ""routeNo"": """", ""geometry"": {""lat"": """", ""lng"": """"}, ""locality"": {""longName"": ""Valla"", ""shortName"": ""Valla""}, ""postalCode"": ""2448"", ""formattedAddress"": ""5 Boggy Creek Road, Valla NSW 2448, Australia"", ""administrativeArea1"": {""longName"": ""New South Wales"", ""shortName"": ""NSW""}, ""administrativeArea2"": {""longName"": """", ""shortName"": """"}}, ""storeName"": ""Nambucca Highway Service Centre"", ""classification"": {""class"": {""code"": ""4512"", ""title"": ""Takeaway Food Services""}, ""group"": {""code"": ""451"", ""title"": ""Cafes, Restaurants and Takeaway Food Services""}, ""division"": {""code"": ""H"", ""title"": ""Accommodation and Food Services""}, ""subdivision"": {""code"": ""45"", ""title"": ""Food and Beverage Services""}}}",NULL,"CUSTOM","McDonalds",NULL,"Nambucca Highway Service Centre","3177",NULL,NULL,NULL,"Valla","Valla","NSW","New South Wales","AU","Australia","2448","5 Boggy Creek Road, Valla NSW 2448, Australia",NULL,NULL,"https://mcdonalds.com.au/",NULL,NULL,NULL,"4512","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-08-08 11:54:42.581677",NULL,"2019-10-18 11:01:42.036342","M235","mcdonalds-master.svg","mcdonalds-thumb.svg","MCDONALDS"
"COCOS ORIENTAL","3 Jalan Pantai, Home Island WA 6799, Australia",NULL,"c763efd6-5902-11e8-89c7-0a87c0279fe8","W10709707","{""id"": ""W10709707"", ""name"": ""Cocos Oriental"", ""score"": 3788.3555, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-oriental-10709709/home-island-wa-10709707B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W10709707"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Home Island"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""3 Jalan Pantai""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 7755""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Oriental",NULL,NULL,NULL,"3","Jalan Pantai",NULL,"Home Island","Home Island","WA","Western Australia","AU","Australia","6799","3 Jalan Pantai, Home Island WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 7755","+61 8 9162 7755","4400","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:48.50663",NULL,"2019-10-18 11:01:42.036342","C226",NULL,NULL,"COCOS ORIENTAL"
"MCDONALDS"," Pinjarra Road, Mandurah WA 6210, Australia",NULL,"d1b5db42-486e-11e8-8f0e-0a87c0279fe8","McDonalds 3208 Mandurah Forum Shopping Centre Ii","{""id"": ""McDonalds 3208 Mandurah Forum Shopping Centre Ii"", ""storeId"": ""3208"", ""identity"": {""status"": ""active"", ""website"": ""https://mcdonalds.com.au/"", ""entityName"": null, ""businessName"": ""McDonalds"", ""phoneNumbers"": [{""local"": ""08 9555 4803"", ""phoneType"": null, ""international"": ""+61 8 9555 4803""}], ""businessNumber"": null, ""operatingHours"": {""friday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""monday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""sunday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""tuesday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""saturday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""thursday"": [{""end"": ""24:00"", ""begin"": ""00:00""}], ""wednesday"": [{""end"": ""24:00"", ""begin"": ""00:00""}]}}, ""location"": {""route"": """", ""country"": {""code"": ""AU"", ""name"": ""Australia""}, ""routeNo"": """", ""geometry"": {""lat"": """", ""lng"": """"}, ""locality"": {""longName"": ""Mandurah"", ""shortName"": ""Mandurah""}, ""postalCode"": ""6210"", ""formattedAddress"": "" Pinjarra Road, Mandurah WA 6210, Australia"", ""administrativeArea1"": {""longName"": ""Western Australia"", ""shortName"": ""WA""}, ""administrativeArea2"": {""longName"": """", ""shortName"": """"}}, ""storeName"": ""Mandurah Forum Shopping Centre Ii"", ""classification"": {""class"": {""code"": ""4512"", ""title"": ""Takeaway Food Services""}, ""group"": {""code"": ""451"", ""title"": ""Cafes, Restaurants and Takeaway Food Services""}, ""division"": {""code"": ""H"", ""title"": ""Accommodation and Food Services""}, ""subdivision"": {""code"": ""45"", ""title"": ""Food and Beverage Services""}}}",NULL,"CUSTOM","McDonalds",NULL,"Mandurah Forum Shopping Centre","3208",NULL,NULL,NULL,"Mandurah","Mandurah","WA","Western Australia","AU","Australia","6210"," Pinjarra Road, Mandurah WA 6210, Australia",NULL,NULL,"https://mcdonalds.com.au/",NULL,NULL,NULL,"4512","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-08-08 11:54:42.541412",NULL,"2019-10-18 11:01:42.036342","M235","mcdonalds-master.svg","mcdonalds-thumb.svg","MCDONALDS"
"PRICELINE","Shop 55 QV Retail Center Lonsdale St &, Swanston St, Melbourne VIC 3000, Australia",NULL,"42a4b230-1d72-4682-bf12-ba5fd06198c1","42a4b230-1d72-4682-bf12-ba5fd06198c1","{}",NULL,"CUSTOM","Priceline",NULL,"QV Melbourne","2463",NULL,NULL,NULL,"QV Melbourne","Queen Victoria Melbourne",NULL,NULL,"AU","Australia","3000","Shop 55 QV Retail Center Lonsdale St &, Swanston St, Melbourne VIC 3000, Australia",NULL,NULL,"https://www.priceline.com.au/store-locator/priceline-pharmacy-qv",NULL,"03 9654 4470","+61 3 9654 4470","4271","2020-03-10 13:44:05.438587","2020-03-10 13:44:05.438587","2020-03-10 13:44:05.438587",NULL,"2020-03-10 13:44:05.438587","P624","priceline-master.png","priceline-thumb.png","PRICELINE"
"COCOS KEELING ISLANDS TOURISM ASSOCIATION INC","Lot 349/ Sydney Highway, West Island WA 6799, Australia",NULL,"c41de9ee-4c87-11e8-ab3e-0a87c0279fe8","W10589998","{""id"": ""W10589998"", ""name"": ""Cocos Keeling Islands Tourism Assn Inc"", ""score"": 4363.823, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-keeling-islands-tourism-assn-inc-10589995/west-island-wa-10589998B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W10589998"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""West Island"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""Lot 349/ Sydney Highway""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6542""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Keeling Islands Tourism Assn Inc",NULL,NULL,NULL,"349/","Sydney Highway",NULL,"West Island","West Island","WA","Western Australia","AU","Australia","6799","Lot 349/ Sydney Highway, West Island WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6542","+61 8 9162 6542","7720","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:55.565373",NULL,"2019-10-18 11:01:42.036342","C224",NULL,NULL,"COCOS KEELING ISLANDS TOURISM ASSOCIATION INC"
"STAGECOACH THEATRE ARTS SCHOOLS","PO Box 7366, Cloisters Square WA 6850, Australia",NULL,"559dc54a-7070-11e8-8909-0a97eab31f0c","12265012","{""id"": ""12265012"", ""name"": ""Stagecoach Theatre Arts Schools, Perth Central"", ""score"": 797.79944, ""aboutId"": ""fc6f39a1-009f-4700-902d-8082ac9a09c6"", ""categories"": [{""id"": ""20761"", ""name"": ""Ballet Classes & Lessons"", ""sensitive"": false}], ""detailsLink"": ""https://www.yellowpages.com.au/wa/cloisters-square/stagecoach-theatre-arts-schools-perth-central-12265012-listing.html?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""Business"", ""reportingId"": ""12265012"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": ""2000""}, ""openingHours"": {""friday"": {""times"": [{""open"": ""15:30"", ""close"": ""19:15""}], ""status"": ""open""}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": [{""open"": ""08:30"", ""close"": ""17:30""}], ""status"": ""open""}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Cloisters Square"", ""latitude"": """", ""postcode"": ""6850"", ""longitude"": """", ""addressLine"": ""PO Box 7366""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9322 6300""}, {""type"": ""URL"", ""value"": ""http://www.stagecoachschools.com.au""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Stagecoach Theatre Arts Schools, Perth Central",NULL,NULL,NULL,"7366",NULL,NULL,"Cloisters Square","Cloisters Square","WA","Western Australia","AU","Australia","6850","PO Box 7366, Cloisters Square WA 6850, Australia",NULL,NULL,"http://www.stagecoachschools.com.au","{""friday"": [{""end"": ""19:15"", ""begin"": ""15:30""}], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [{""end"": ""17:30"", ""begin"": ""08:30""}], ""thursday"": [], ""wednesday"": []}","08 9322 6300","+61 8 9322 6300",NULL,"2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:16.086987",NULL,"2019-10-18 11:01:42.036342","S322",NULL,NULL,"STAGECOACH THEATRE ARTS SCHOOLS"
"DOC PIZZA & MOZZARELLA BAR","295 Drummond St, Carlton VIC 3053, Australia",NULL,"a4cc8e5f-f0e5-477d-907b-8e84a7f4d6cd","a4cc8e5f-f0e5-477d-907b-8e84a7f4d6cd","{}",NULL,"CUSTOM","DOC Pizza & Mozzarella Bar",NULL,NULL,NULL,"295","Drummond St","Drummond Street","Carlton","Carlton","VIC","Victoria","AU","Australia","3053","295 Drummond St, Carlton VIC 3053, Australia",NULL,NULL,"http://docgroup.net/",NULL,"(03) 9347 2998","+61 3 9347 2998","4511","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"DOC PIZZA & MOZZARELLA BAR"
"ELIETTE","Shop 10 Eton Arcade, 23-27 Eton St, Sutherland NSW 2232, Australia",NULL,"bcafec11-ae6d-4711-a039-44a6956f99e2","bcafec11-ae6d-4711-a039-44a6956f99e2","{}",NULL,"CUSTOM","Eliette",NULL,NULL,NULL,"23-27","Eton St","Eton Street","Sutherland","Sutherland","NSW","New South Wales","AU","Australia","2232","Shop 10 Eton Arcade, 23-27 Eton St, Sutherland NSW 2232, Australia",NULL,NULL,"http://www.eliette.com.au/","{""periods"": [{""open"": {""day"": 1, ""time"": ""0600""}, ""close"": {""day"": 1, ""time"": ""1530""}}, {""open"": {""day"": 2, ""time"": ""0600""}, ""close"": {""day"": 2, ""time"": ""1530""}}, {""open"": {""day"": 3, ""time"": ""0600""}, ""close"": {""day"": 3, ""time"": ""1530""}}, {""open"": {""day"": 4, ""time"": ""0600""}, ""close"": {""day"": 4, ""time"": ""1530""}}, {""open"": {""day"": 5, ""time"": ""0600""}, ""close"": {""day"": 5, ""time"": ""1530""}}, {""open"": {""day"": 6, ""time"": ""0700""}, ""close"": {""day"": 6, ""time"": ""1400""}}], ""open_now"": true, ""weekday_text"": [""Monday: 6:00 AM – 3:30 PM"", ""Tuesday: 6:00 AM – 3:30 PM"", ""Wednesday: 6:00 AM – 3:30 PM"", ""Thursday: 6:00 AM – 3:30 PM"", ""Friday: 6:00 AM – 3:30 PM"", ""Saturday: 7:00 AM – 2:00 PM"", ""Sunday: Closed""]}",NULL,NULL,NULL,"2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"ELIETTE"
"SONDER CAFE","227 Glenmore Rd, Paddington NSW 2021, Australia",NULL,"d7634185-ee40-4e01-b699-1c9077ad5594","d7634185-ee40-4e01-b699-1c9077ad5594","{}",NULL,"CUSTOM","Sonder Cafe",NULL,NULL,NULL,"227","Glenmore Rd","Glenmore Road","Paddington","Paddington","NSW","New South Wales","AU","Australia","2021","227 Glenmore Rd, Paddington NSW 2021, Australia",NULL,NULL,"http://www.sondercafe.com.au/","{""periods"": [{""open"": {""day"": 0, ""time"": ""0700""}, ""close"": {""day"": 0, ""time"": ""1600""}}, {""open"": {""day"": 1, ""time"": ""0700""}, ""close"": {""day"": 1, ""time"": ""1600""}}, {""open"": {""day"": 2, ""time"": ""0700""}, ""close"": {""day"": 2, ""time"": ""1600""}}, {""open"": {""day"": 3, ""time"": ""0700""}, ""close"": {""day"": 3, ""time"": ""1600""}}, {""open"": {""day"": 4, ""time"": ""0700""}, ""close"": {""day"": 4, ""time"": ""1600""}}, {""open"": {""day"": 5, ""time"": ""0700""}, ""close"": {""day"": 5, ""time"": ""1600""}}, {""open"": {""day"": 6, ""time"": ""0700""}, ""close"": {""day"": 6, ""time"": ""1600""}}], ""open_now"": true, ""weekday_text"": [""Monday: 7:00 AM – 4:00 PM"", ""Tuesday: 7:00 AM – 4:00 PM"", ""Wednesday: 7:00 AM – 4:00 PM"", ""Thursday: 7:00 AM – 4:00 PM"", ""Friday: 7:00 AM – 4:00 PM"", ""Saturday: 7:00 AM – 4:00 PM"", ""Sunday: 7:00 AM – 4:00 PM""]}","0481 056 848","+61 481 056 848","4511","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"SONDER CAFE"
"GUTHEGA SKI CLUB INC","Lot 113/ Guthega Road, Guthega NSW 2624, Australia",NULL,"416d42c6-4924-11e8-ba35-0a87c0279fe8","W11064813","{""id"": ""W11064813"", ""name"": ""Guthega Ski Club Inc"", ""score"": 2970.1853, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/guthega-ski-club-inc-11064812/guthega-nsw-11064813B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W11064813"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""NSW"", ""suburb"": ""Guthega"", ""latitude"": """", ""postcode"": ""2624"", ""longitude"": """", ""addressLine"": ""Lot 113/ Guthega Road""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(02) 6457 5241""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Guthega Ski Club Inc",NULL,NULL,NULL,"113/","Guthega Road",NULL,"Guthega","Guthega","NSW","New South Wales","AU","Australia","2624","Lot 113/ Guthega Road, Guthega NSW 2624, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","02 6457 5241","+61 2 6457 5241","4400","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:21:02.268195",NULL,"2019-10-18 11:01:42.036342","G322",NULL,NULL,"GUTHEGA SKI CLUB INC"
